age,weight_kg,height_m,bmi,bmi_calc,fat_percentage,water_intake_liters,lean_mass_kg,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,experience_level,sets,reps,cal_balance,difficulty_level_enc,intensity_of_burn_enc,gender_Male,workout_type_HIIT,workout_type_Strength,workout_type_Yoga,body_part_Arms,body_part_Back,body_part_Chest,body_part_Forearms,body_part_Legs,body_part_Shoulders
34,65.27,1.62,24.87,24.8704465782655,26.800377179186803,1.5,47.77739381514478,188.58,157.65,69.05,1.0,1080.9,2.01,4.99,20.91,725.0999999999999,2,1,True,False,True,False,False,False,False,False,True,False
23,56.41,1.55,23.48,23.479708636836623,27.65502094955822,1.9,40.8098026823542,179.43,131.75,73.18,1.37,1809.91,2.01,4.01,16.15,-232.91000000000008,1,2,False,True,False,False,False,False,True,False,False,False
33,58.98,1.67,21.15,21.148122915844954,24.32082112410528,1.88,44.63557970100271,175.04,123.95,54.96,0.91,802.26,1.02,5.0,21.9,805.74,1,2,False,False,False,False,True,False,False,False,False,False
38,93.78,1.7,32.45,32.44982698961938,32.81357178608907,2.5,63.00743237900567,191.21,155.1,50.07,1.1,1450.79,1.99,4.01,16.92,1206.21,2,2,False,True,False,False,False,False,False,False,False,True
45,52.42,1.88,14.83,14.831371661385244,17.307318603384633,2.91,43.34750358810577,193.58,152.88,70.84,1.08,1166.4,2.0,4.99,15.01,303.5999999999999,2,0,True,False,True,False,False,False,False,False,False,False
53,105.05,1.84,31.03,31.02847353497164,32.04906403773502,2.91,71.38245822835935,176.52,130.6,61.84,0.69,453.33,1.0,4.0,25.1,2313.67,0,3,False,False,False,True,True,False,False,False,False,False
23,58.41,1.78,18.44,18.435172326726423,20.54629200523472,2.71,46.4089108397424,184.75,140.9,58.01,1.67,1953.9,3.0,5.01,25.04,-86.90000000000009,2,0,True,False,True,False,False,False,False,False,False,True
55,84.07,1.63,31.64,31.6421393353156,32.08817620708069,2.88,57.093470262707264,183.87,141.12,51.79,1.01,727.81,2.01,4.97,18.95,1463.19,1,3,False,False,False,True,False,True,False,False,False,False
24,88.58,1.79,27.65,27.645828781873224,27.36724576855457,3.49,64.33809369821437,176.78,154.07,65.19,1.76,2062.37,3.02,3.99,24.1,524.6300000000001,0,2,False,False,True,False,False,False,True,False,False,False
39,50.32,1.6,19.66,19.65625,21.90937914793248,2.49,39.29520041276037,166.88,128.04,49.91,1.17,1157.25,1.0,4.02,16.09,89.75,1,0,False,False,True,False,False,False,False,True,False,False
50,86.37,1.63,32.51,32.507809853588775,29.07152849804965,3.49,61.260920836234526,160.92,143.2,57.87,1.69,1974.26,2.98,4.99,17.03,501.74,1,2,True,False,True,False,False,False,False,False,False,False
47,83.89,1.82,25.33,25.32604757879483,23.64931819941694,3.51,64.05058696250913,176.36,148.74,69.91,1.91,2733.4,3.01,4.0,20.97,-501.4000000000001,2,3,False,True,False,False,False,False,False,False,False,True
19,82.66,1.96,21.52,21.5170762182424,24.128786918912287,3.5,62.7151447328271,173.75,168.71,62.16,1.89,2700.62,2.99,3.99,23.95,-131.6199999999999,2,2,True,True,False,False,False,False,False,False,False,False
38,57.67,1.56,23.7,23.6974030243261,26.59443119940612,2.71,42.33299152730249,184.91,132.43,54.04,1.64,2345.2,3.0,4.99,14.93,-619.1999999999998,2,1,False,True,False,False,False,False,False,False,False,True
