yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2020,AL,Percent of adults aged 18 years and older who have obesity,41.6,37.1,46.3,739,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2020,AL,Percent of adults aged 18 years and older who have obesity,43.4,37.3,49.7,420,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2020,AL,Percent of adults aged 18 years and older who have obesity,44.3,38.8,49.9,547,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2020,AL,Percent of adults aged 18 years and older who have obesity,39.8,35.1,44.7,673,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2020,AL,Percent of adults aged 18 years and older who have obesity,35.2,32.0,38.4,"1,310",,,,,"$75,000 or greater",,"$75,000 or greater"
2020,AL,Percent of adults aged 18 years and older who have obesity,27.1,21.7,33.3,296,,18 - 24,,,,,18 - 24
2020,AL,Percent of adults aged 18 years and older who have obesity,30.3,19.4,44.1,76,,,,,,2 or more races,2 or more races
2020,AL,Percent of adults aged 18 years and older who have obesity,37.5,32.9,42.4,537,,25 - 34,,,,,25 - 34
2020,AL,Percent of adults aged 18 years and older who have obesity,43.6,39.0,48.3,626,,35 - 44,,,,,35 - 44
2020,AL,Percent of adults aged 18 years and older who have obesity,48.0,43.7,52.2,777,,45 - 54,,,,,45 - 54
2020,AL,Percent of adults aged 18 years and older who have obesity,42.0,38.0,46.1,946,,55 - 64,,,,,55 - 64
2020,AL,Percent of adults aged 18 years and older who have obesity,34.9,31.9,38.1,"1,791",,65 or older,,,,,65 or older
2020,AL,Percent of adults aged 18 years and older who have obesity,49.7,33.1,66.4,58,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2020,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2020,AL,Percent of adults aged 18 years and older who have obesity,36.1,33.3,38.9,"1,682",,,College graduate,,,,College graduate
2020,AL,Percent of adults aged 18 years and older who have obesity,33.4,29.0,37.9,809,,,,,Data not reported,,Data not reported
2020,AL,Percent of adults aged 18 years and older who have obesity,40.3,38.0,42.7,"2,884",,,,Female,,,Female
2020,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2020,AL,Percent of adults aged 18 years and older who have obesity,39.6,36.4,42.8,"1,442",,,High school graduate,,,,High school graduate
2020,AL,Percent of adults aged 18 years and older who have obesity,38.8,26.0,53.4,78,,,,,,Hispanic,Hispanic
2020,AL,Percent of adults aged 18 years and older who have obesity,44.0,38.2,50.0,475,,,,,"Less than $15,000",,"Less than $15,000"
