yearstart,locationabbr,question,data_value,low_confidence_limit,high_confidence_limit,sample_size,total,age_years,education,sex,income,race/ethnicity,stratification1
2015,AL,Percent of adults aged 18 years and older who have obesity,39.3,35.7,43.0,"1,302",,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2015,AL,Percent of adults aged 18 years and older who have obesity,38.8,33.6,44.3,683,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2015,AL,Percent of adults aged 18 years and older who have obesity,36.5,32.2,41.0,843,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2015,AL,Percent of adults aged 18 years and older who have obesity,34.6,30.5,38.9,908,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2015,AL,Percent of adults aged 18 years and older who have obesity,32.7,29.5,36.0,"1,427",,,,,"$75,000 or greater",,"$75,000 or greater"
2015,AL,Percent of adults aged 18 years and older who have obesity,25.1,20.2,30.6,436,,18 - 24,,,,,18 - 24
2015,AL,Percent of adults aged 18 years and older who have obesity,39.6,26.3,54.6,75,,,,,,2 or more races,2 or more races
2015,AL,Percent of adults aged 18 years and older who have obesity,35.2,30.7,39.9,686,,25 - 34,,,,,25 - 34
2015,AL,Percent of adults aged 18 years and older who have obesity,41.1,36.8,45.4,836,,35 - 44,,,,,35 - 44
2015,AL,Percent of adults aged 18 years and older who have obesity,40.6,37.3,44.0,"1,244",,45 - 54,,,,,45 - 54
2015,AL,Percent of adults aged 18 years and older who have obesity,40.3,37.2,43.5,"1,694",,55 - 64,,,,,55 - 64
2015,AL,Percent of adults aged 18 years and older who have obesity,30.2,27.8,32.6,"2,487",,65 or older,,,,,65 or older
2015,AL,Percent of adults aged 18 years and older who have obesity,39.4,27.2,53.2,112,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2015,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Asian,Asian
2015,AL,Percent of adults aged 18 years and older who have obesity,29.1,26.7,31.7,"2,068",,,College graduate,,,,College graduate
2015,AL,Percent of adults aged 18 years and older who have obesity,31.2,27.5,35.2,"1,298",,,,,Data not reported,,Data not reported
2015,AL,Percent of adults aged 18 years and older who have obesity,36.4,34.4,38.4,"4,425",,,,Female,,,Female
2015,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Hawaiian/Pacific Islander,Hawaiian/Pacific Islander
2015,AL,Percent of adults aged 18 years and older who have obesity,37.6,34.8,40.5,"2,336",,,High school graduate,,,,High school graduate
2015,AL,Percent of adults aged 18 years and older who have obesity,31.4,20.6,44.7,88,,,,,,Hispanic,Hispanic
2015,AL,Percent of adults aged 18 years and older who have obesity,40.5,36.1,45.0,922,,,,,"Less than $15,000",,"Less than $15,000"
2015,AL,Percent of adults aged 18 years and older who have obesity,38.4,34.1,42.9,888,,,Less than high school,,,,Less than high school
2015,AL,Percent of adults aged 18 years and older who have obesity,34.9,32.6,37.2,"2,958",,,,Male,,,Male
2015,AL,Percent of adults aged 18 years and older who have obesity,46.5,43.2,49.8,"1,876",,,,,,Non-Hispanic Black,Non-Hispanic Black
2015,AL,Percent of adults aged 18 years and older who have obesity,32.3,30.6,34.1,"5,075",,,,,,Non-Hispanic White,Non-Hispanic White
2015,AL,Percent of adults aged 18 years and older who have obesity,,,,,,,,,,Other,Other
2015,AL,Percent of adults aged 18 years and older who have obesity,36.5,33.8,39.3,"2,078",,,Some college or technical sch,,,,Some college or technical school
2015,AL,Percent of adults aged 18 years and older who have obesity,35.6,34.1,37.2,"7,383",Total,,,,,,Total
2015,AK,Percent of adults aged 18 years and older who have obesity,31.0,24.1,38.9,391,,,,,"$15,000 - $24,999",,"$15,000 - $24,999"
2015,AK,Percent of adults aged 18 years and older who have obesity,26.0,19.1,34.4,269,,,,,"$25,000 - $34,999",,"$25,000 - $34,999"
2015,AK,Percent of adults aged 18 years and older who have obesity,31.7,24.8,39.6,368,,,,,"$35,000 - $49,999",,"$35,000 - $49,999"
2015,AK,Percent of adults aged 18 years and older who have obesity,29.0,23.5,35.0,512,,,,,"$50,000 - $74,999",,"$50,000 - $74,999"
2015,AK,Percent of adults aged 18 years and older who have obesity,30.8,27.0,34.9,"1,274",,,,,"$75,000 or greater",,"$75,000 or greater"
2015,AK,Percent of adults aged 18 years and older who have obesity,19.2,12.9,27.5,193,,18 - 24,,,,,18 - 24
2015,AK,Percent of adults aged 18 years and older who have obesity,29.1,20.4,39.7,144,,,,,,2 or more races,2 or more races
2015,AK,Percent of adults aged 18 years and older who have obesity,29.8,23.8,36.6,416,,25 - 34,,,,,25 - 34
2015,AK,Percent of adults aged 18 years and older who have obesity,33.1,27.3,39.4,459,,35 - 44,,,,,35 - 44
2015,AK,Percent of adults aged 18 years and older who have obesity,30.8,26.2,35.7,669,,45 - 54,,,,,45 - 54
2015,AK,Percent of adults aged 18 years and older who have obesity,30.6,26.0,35.7,853,,55 - 64,,,,,55 - 64
2015,AK,Percent of adults aged 18 years and older who have obesity,34.7,29.6,40.2,844,,65 or older,,,,,65 or older
2015,AK,Percent of adults aged 18 years and older who have obesity,39.1,32.7,45.9,585,,,,,,American Indian/Alaska Native,American Indian/Alaska Native
2015,AK,Percent of adults aged 18 years and older who have obesity,18.5,8.2,36.8,59,,,,,,Asian,Asian
2015,AK,Percent of adults aged 18 years and older who have obesity,26.7,23.1,30.5,"1,290",,,College graduate,,,,College graduate
2015,AK,Percent of adults aged 18 years and older who have obesity,21.9,15.6,29.9,330,,,,,Data not reported,,Data not reported
